taxonID,scientificName,kingdom,phylum,class,order,family,nomenclaturalCode
gn_57,Crypturellus soui modestus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_58,Crypturellus soui capnodes,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_59,Crypturellus soui poliocephalus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_60,Crypturellus soui panamensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_61,Crypturellus soui harterti,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_62,Crypturellus soui caucae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_63,Crypturellus soui mustelinus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_64,Crypturellus soui soui,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_65,Crypturellus soui caquetae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_66,Crypturellus soui andrei,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_67,Crypturellus soui nigriceps,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_68,Crypturellus soui inconspicuus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_69,Crypturellus soui albigularis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_70,Crypturellus ptaritepui,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_71,Crypturellus obsoletus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_72,Crypturellus obsoletus castaneus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_73,Crypturellus obsoletus [obsoletus Group],Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_74,Crypturellus obsoletus ochraceiventris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_75,Crypturellus obsoletus traylori,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_76,Crypturellus obsoletus punensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_77,Crypturellus obsoletus cerviniventris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_78,Crypturellus obsoletus knoxi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_79,Crypturellus obsoletus griseiventris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_80,Crypturellus obsoletus hypochraceus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_81,Crypturellus obsoletus obsoletus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_82,Crypturellus undulatus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_83,Crypturellus undulatus manapiare,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_84,Crypturellus undulatus simplex,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_85,Crypturellus undulatus yapura,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_86,Crypturellus undulatus vermiculatus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_87,Crypturellus undulatus adspersus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_88,Crypturellus undulatus undulatus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_89,Crypturellus transfasciatus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_90,Crypturellus strigulosus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_91,Crypturellus duidae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_92,Crypturellus erythropus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_93,Crypturellus erythropus columbianus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_94,Crypturellus erythropus saltuarius,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_95,Crypturellus erythropus idoneus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_96,Crypturellus erythropus cursitans,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_97,Crypturellus erythropus spencei,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_98,Crypturellus erythropus margaritae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_99,Crypturellus erythropus erythropus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_100,Crypturellus noctivagus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_101,Crypturellus noctivagus zabele,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_102,Crypturellus noctivagus noctivagus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_103,Crypturellus atrocapillus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_104,Crypturellus atrocapillus atrocapillus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_105,Crypturellus atrocapillus garleppi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_106,Crypturellus boucardi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_107,Crypturellus boucardi boucardi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_108,Crypturellus boucardi costaricensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_109,Crypturellus kerriae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_110,Crypturellus variegatus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_111,Crypturellus cinnamomeus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_112,Crypturellus cinnamomeus occidentalis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_113,Crypturellus cinnamomeus [cinnamomeus Group],Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_114,Crypturellus cinnamomeus soconuscensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_115,Crypturellus cinnamomeus mexicanus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_116,Crypturellus cinnamomeus sallaei,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_117,Crypturellus cinnamomeus goldmani,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_118,Crypturellus cinnamomeus vicinior,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_119,Crypturellus cinnamomeus cinnamomeus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_120,Crypturellus cinnamomeus delattrii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_121,Crypturellus cinnamomeus praepes,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_122,Crypturellus brevirostris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_123,Crypturellus bartletti,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_124,Crypturellus parvirostris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_125,Crypturellus casiquiare,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_126,Crypturellus tataupa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_127,Crypturellus tataupa inops,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_128,Crypturellus tataupa peruvianus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_129,Crypturellus tataupa lepidotus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
